mins,peaks
700.75806,699.91138
701.18134,700.96973
702.02771,701.39294
704.98804,704.35394
708.78986,705.83331
709.63403,709.00092
713.6405,711.74341
715.53638,714.9046
718.06232,715.74701
719.32446,718.90381
721.42676,720.37579
726.8855,723.52753
728.56299,728.14374
730.86792,729.61096
734.00793,732.75238
735.05383,734.6355
736.0993,735.89026
737.14441,736.30835
737.7713,737.56232
738.18909,737.98022
739.8598,739.0246
741.3208,741.11212
742.15533,741.94672
742.78101,742.36389
744.65735,744.24048
745.49078,745.28247
746.32404,746.11578
748.61407,747.98975
749.86237,749.03027
750.90216,750.69427
751.73376,751.11011
753.39606,752.98059
754.64209,753.60376
755.05731,754.84973
756.92499,756.09509
757.54724,757.13245
758.79132,757.75464
760.44922,759.82764
761.27771,761.07062
762.72699,761.4848
763.14093,762.93396
763.76172,763.55481
768.72253,766.65668
773.0553,770.1676
779.84875,777.5863
782.93054,780.25989
784.16211,783.75165
787.23846,785.18799
787.85321,787.44336
789.49188,788.263
792.35687,790.10608
797.87238,795.21838
799.09625,798.68835
799.50409,799.30017
800.93085,799.9118
801.74579,801.54211
802.15314,801.94946
802.76404,802.35681
803.78186,802.96765
805.61273,804.79919
807.84851,807.64532
809.47308,809.06708
812.11053,811.70502
815.1499,812.92145
817.3761,816.16211
818.99371,818.58942
821.61981,819.60004
822.83075,822.42719
824.64587,823.23425
828.47278,825.25061
831.89093,828.87518
835.10291,833.89899
837.10785,836.70703
838.71039,838.51013
839.31097,838.91058
841.71167,841.31177
842.11151,841.91162
849.29486,844.90814
852.28015,850.09137
852.87665,852.479
855.2608,854.26776
855.6579,855.45935
856.25336,856.05487
856.84857,856.65021
857.44366,857.24536
859.22778,858.23682
859.82214,859.4259
862.39539,862.19757
864.76752,862.59314
867.53113,866.14984
867.9256,867.72839
869.89661,868.1228
871.86548,870.09363
876.18939,875.99304
876.58191,876.38568
876.97443,876.7782
878.5434,877.75909
879.13141,878.73944
879.71924,879.52332
881.48145,880.50262
885.5863,882.06848
886.75726,886.56219
887.1474,886.95239
887.53748,887.34247
889.29163,888.90198
889.87592,889.68121
891.82214,890.8493
897.25928,892.40558
897.64697,897.45312
898.03455,897.84076
898.422,898.22827
898.80939,898.61572
899.58392,899.39032
899.97101,899.77747
900.35803,900.16455
900.74493,900.55151
901.13177,900.93835
901.51849,901.32513
901.90515,901.71185
902.29169,902.09845
902.6781,902.48492
903.06451,902.87134
903.45074,903.25763
903.83691,903.64386
904.60895,904.02997
904.99481,904.80188
,905.57349
